%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
3139510000000,0,3133844000000,map,0.973068532965,0.0134498580306,0.0,0.0,0.0,-0.00135659629422,0.999999079823,0.225396364847,-0.00425253526067,0.0,0.0,0.0,0.0,-0.00425253526067,0.211247665303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0665743109151
3142268000000,1,3142236000000,map,1.22016733772,0.00587519921324,0.0,0.0,0.0,-0.0816486220134,0.996661177393,0.188692969758,0.0045224394745,0.0,0.0,0.0,0.0,0.0045224394745,0.195283354061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0627647076364
3142885000000,2,3142853000000,map,1.45873789804,-0.0326048684652,0.0,0.0,0.0,-0.135549355173,0.9907705952,0.18843893275,0.0193152729061,0.0,0.0,0.0,0.0,0.0193152729061,0.190906105938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575325220066
3143506000000,3,3143475000000,map,1.72997585624,-0.110037353876,0.0,0.0,0.0,-0.174665531013,0.984627824244,0.162999493967,0.00555912491065,0.0,0.0,0.0,0.0,0.00555912491065,0.178703003641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0496969784941
3144144000000,4,3144128000000,map,2.0043923736,-0.205088282822,0.0,0.0,0.0,-0.170379529549,0.985378514029,0.15276902952,0.00693100548254,0.0,0.0,0.0,0.0,0.00693100548254,0.169960167852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0508029895736
3144811000000,5,3144775000000,map,2.26566607378,-0.292042980594,0.0,0.0,0.0,-0.156435932974,0.987688108096,0.134235493882,0.012062485468,0.0,0.0,0.0,0.0,0.012062485468,0.178444736025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044994672182
3145449000000,6,3145433000000,map,2.53112808524,-0.38026114637,0.0,0.0,0.0,-0.135943050612,0.990716653232,0.123187270796,0.0252274950979,0.0,0.0,0.0,0.0,0.0252274950979,0.178367463888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0382346210837
3146098000000,7,3146070000000,map,2.78975256985,-0.449698855183,0.0,0.0,0.0,-0.0791437428551,0.996863214271,0.0942827908957,0.0242424247753,0.0,0.0,0.0,0.0,0.0242424247753,0.17615203573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0332575673137
3146731000000,8,3146717000000,map,3.02962949297,-0.499480073532,0.0,0.0,0.0,-0.010345938222,0.999946479349,0.0798799585468,0.0269253082512,0.0,0.0,0.0,0.0,0.0269253082512,0.187514014317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0309632134353
3147400000000,9,3147384000000,map,3.30693452132,-0.516239737455,0.0,0.0,0.0,0.0655169294507,0.997851457861,0.0648609224723,0.0171992941933,0.0,0.0,0.0,0.0,0.0171992941933,0.191298405802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0245355790543
3148032000000,10,3148019000000,map,3.55640967967,-0.513310588194,0.0,0.0,0.0,0.125551333788,0.992087124493,0.0573711678692,0.00857146997606,0.0,0.0,0.0,0.0,0.00857146997606,0.173999471269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0215458444603
3148732000000,11,3148697000000,map,3.82469939592,-0.440640134598,0.0,0.0,0.0,0.204320646101,0.978904016529,0.0532891841583,0.00545139277438,0.0,0.0,0.0,0.0,0.00545139277438,0.198544474451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0210410052394
3149418000000,12,3149386000000,map,4.09221380997,-0.320982247449,0.0,0.0,0.0,0.275439447894,0.961318423075,0.0482419211815,-0.0112456138483,0.0,0.0,0.0,0.0,-0.0112456138483,0.170063382251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0172765843875
3150224000000,13,3150191000000,map,4.35821599856,-0.104368925647,0.0,0.0,0.0,0.34452687946,0.938776453331,0.0598194440538,-0.020548380237,0.0,0.0,0.0,0.0,-0.020548380237,0.177150937214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0181200420624
3151097000000,14,3151067000000,map,4.62945239109,0.13792088063,0.0,0.0,0.0,0.322113638172,0.946701010934,0.057539052016,-0.0312441031926,0.0,0.0,0.0,0.0,-0.0312441031926,0.170299736662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0157670475903
3151989000000,15,3151960000000,map,4.88750183985,0.326203681881,0.0,0.0,0.0,0.214237151375,0.976781676205,0.0606891612106,-0.038043602965,0.0,0.0,0.0,0.0,-0.038043602965,0.123982511031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139390893149
3152846000000,16,3152823000000,map,5.06185558287,0.42832508009,0.0,0.0,0.0,0.103079078076,0.994673164242,0.0569568930527,-0.0360101040778,0.0,0.0,0.0,0.0,-0.0360101040778,0.10344089184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123977176086
3153616000000,17,3153596000000,map,5.30802712789,0.44595137095,0.0,0.0,0.0,-0.00405843473139,0.99999176452,0.0494580449154,-0.032011875639,0.0,0.0,0.0,0.0,-0.032011875639,0.0769808716065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00976290296249
3154274000000,18,3154261000000,map,5.56024070315,0.429050769359,0.0,0.0,0.0,-0.0906277733626,0.995884836061,0.0533599881178,-0.0470264134589,0.0,0.0,0.0,0.0,-0.0470264134589,0.0977028573351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105336607122
3154922000000,19,3154912000000,map,5.84671987069,0.363013576171,0.0,0.0,0.0,-0.164842483276,0.986319905359,0.0349047659822,-0.0330040489397,0.0,0.0,0.0,0.0,-0.0330040489397,0.0857883802063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00879413360994
3155627000000,20,3155605000000,map,6.11465422177,0.25160074602,0.0,0.0,0.0,-0.208820056277,0.977954080771,0.0299993888451,-0.0276144787403,0.0,0.0,0.0,0.0,-0.0276144787403,0.075705568731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00659359401722
3156325000000,21,3156302000000,map,6.36471435516,0.135848757947,0.0,0.0,0.0,-0.219465490097,0.975620263554,0.0359979367946,-0.030844117936,0.0,0.0,0.0,0.0,-0.030844117936,0.0744689821515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00630566474763
3157033000000,22,3156996000000,map,6.61739646064,0.00531843373111,0.0,0.0,0.0,-0.179676146584,0.983725816653,0.0335951872946,-0.0237564946635,0.0,0.0,0.0,0.0,-0.0237564946635,0.0468156076457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00515195418384
3157713000000,23,3157704000000,map,6.87634374321,-0.0938448197623,0.0,0.0,0.0,-0.097086623219,0.995275935403,0.0244807524557,-0.0114464578827,0.0,0.0,0.0,0.0,-0.0114464578827,0.0377609403921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00430568207954
3158433000000,24,3158397000000,map,7.15311198742,-0.164181916288,0.0,0.0,0.0,-0.0231147964752,0.999732817399,0.0282571490257,-0.0167612972595,0.0,0.0,0.0,0.0,-0.0167612972595,0.0457534607283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00433297608211
3159072000000,25,3159055000000,map,7.42532710164,-0.179288761503,0.0,0.0,0.0,0.0489242807491,0.998802490362,0.0278644037433,-0.0157365386019,0.0,0.0,0.0,0.0,-0.0157365386019,0.0423947190944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00386458450777
3159732000000,26,3159709000000,map,7.69996153334,-0.139492855912,0.0,0.0,0.0,0.125056329557,0.992149643168,0.0208491722157,-0.00917138702143,0.0,0.0,0.0,0.0,-0.00917138702143,0.0309357438131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00296177545423
